,index,files,repo
474,326,.xlsx,figshare_subset
475,326,.pdf,figshare_subset
476,326,.txt,figshare_subset
477,327,.mp4,figshare_subset
478,328,.sdf,figshare_subset
479,329,.tif,figshare_subset
480,329,.docx,figshare_subset
481,329,.xlsx,figshare_subset
482,330,.docx,figshare_subset
483,331,.tif,figshare_subset
484,331,.pdf,figshare_subset
485,332,.tif,figshare_subset
486,333,.rdf,figshare_subset
487,334,.xls,figshare_subset
488,335,.xls,figshare_subset
489,336,.pdf,figshare_subset
490,337,.xlsx,figshare_subset
491,337,.pdf,figshare_subset
492,338,.pdf,figshare_subset
493,338,.xls,figshare_subset
494,339,.pdf,figshare_subset
495,339,.zip,figshare_subset
496,340,.xls,figshare_subset
497,341,.xls,figshare_subset
498,342,.csv,figshare_subset
499,342,.gz,figshare_subset
500,343,.xls,figshare_subset
501,344,.xls,figshare_subset
502,345,.tif,figshare_subset
503,345,.xlsx,figshare_subset
504,346,.xls,figshare_subset
505,347,.xls,figshare_subset
506,348,.xls,figshare_subset
507,349,.xls,figshare_subset
508,350,.xls,figshare_subset
509,351,.docx,figshare_subset
510,352,.mov,figshare_subset
511,352,.pdf,figshare_subset
512,353,.xls,figshare_subset
513,354,.xls,figshare_subset
514,355,.eps,figshare_subset
515,356,.xls,figshare_subset
516,357,.xls,figshare_subset
517,358,.xls,figshare_subset
518,359,.xls,figshare_subset
519,360,.xls,figshare_subset
520,361,.xls,figshare_subset
521,362,.xls,figshare_subset
522,363,.xls,figshare_subset
523,364,.mp4,figshare_subset
524,365,.xls,figshare_subset
525,366,.xls,figshare_subset
526,367,.xls,figshare_subset
527,368,.xls,figshare_subset
528,369,.xls,figshare_subset
529,370,.xls,figshare_subset
530,371,.xls,figshare_subset
531,372,.xls,figshare_subset
532,373,.PDF,figshare_subset
533,373,.XLSX,figshare_subset
534,373,.MODEL,figshare_subset
535,374,.tif,figshare_subset
536,375,.tif,figshare_subset
537,375,.pdf,figshare_subset
538,376,.xls,figshare_subset
539,377,.tif,figshare_subset
540,377,.xls,figshare_subset
541,378,.xls,figshare_subset
542,379,.doc,figshare_subset
543,380,.xlsx,figshare_subset
544,381,.xlsx,figshare_subset
545,382,.xls,figshare_subset
546,383,.csv,figshare_subset
547,384,.tif,figshare_subset
548,384,.docx,figshare_subset
549,385,.xls,figshare_subset
550,386,.xls,figshare_subset
551,387,.xls,figshare_subset
552,388,.xls,figshare_subset
553,389,.xls,figshare_subset
554,390,.xls,figshare_subset
555,391,.xls,figshare_subset
556,392,.xls,figshare_subset
557,393,.xls,figshare_subset
558,394,.tif,figshare_subset
559,394,.pdf,figshare_subset
560,395,.xls,figshare_subset
561,396,.xls,figshare_subset
562,397,.pdf,figshare_subset
563,398,.xlsx,figshare_subset
564,398,.txt,figshare_subset
565,399,.zip,figshare_subset
566,400,.tif,figshare_subset
567,401,.doc,figshare_subset
568,401,.tif,figshare_subset
569,401,.xls,figshare_subset
570,402,.pdf,figshare_subset
571,402,.zip,figshare_subset
572,403,.csv,figshare_subset
573,403,.xlsx,figshare_subset
574,403,.pdf,figshare_subset
575,403,.zip,figshare_subset
576,404,.docx,figshare_subset
577,405,.bz2,figshare_subset
578,406,.rar,figshare_subset
579,407,.xls,figshare_subset
580,408,.xls,figshare_subset
581,409,.xls,figshare_subset
582,410,.pdf,figshare_subset
583,411,.zip,figshare_subset
584,412,.tif,figshare_subset
585,412,.xls,figshare_subset
586,412,.docx,figshare_subset
587,412,.xlsx,figshare_subset
588,413,.docx,figshare_subset
589,414,.tif,figshare_subset
590,414,.docx,figshare_subset
591,415,.pdf,figshare_subset
592,415,.xls,figshare_subset
593,416,.xls,figshare_subset
594,417,.xls,figshare_subset
595,418,.xls,figshare_subset
596,419,.xls,figshare_subset
597,420,.xls,figshare_subset
598,421,.xls,figshare_subset
599,422,.xls,figshare_subset
600,423,.xls,figshare_subset
601,424,.xls,figshare_subset
602,425,.xls,figshare_subset
603,426,.xls,figshare_subset
604,427,.xls,figshare_subset
605,428,.xls,figshare_subset
606,429,.xls,figshare_subset
607,430,.xls,figshare_subset
608,431,.pdf,figshare_subset
609,432,.tif,figshare_subset
610,432,.docx,figshare_subset
611,433,.pdf,figshare_subset
612,434,.R,figshare_subset
613,434,.TXT,figshare_subset
614,434,.DOCX,figshare_subset
615,435,.xls,figshare_subset
616,436,.xls,figshare_subset
617,437,.xls,figshare_subset
618,438,.tif,figshare_subset
619,439,.xls,figshare_subset
620,440,.xls,figshare_subset
621,441,.xls,figshare_subset
